product_id,merchant_id,product_name,category,subcategory,description,price_inr,stock_quantity,rating,is_active,compatible_product_ids,frequently_bought_with_ids,tags
1001,1,NovaBook Pro 14,Laptops,Laptop,"A sleek 14-inch ultrabook with all-day battery life, built for students and professionals.",65000,18,4.6,true,"1021,1022,1023,1024","1021,1022,1023","student,work,portable"
1002,1,NovaBook Air 13,Laptops,Laptop,Ultra-light 13-inch laptop ideal for travel and everyday productivity.,52000,25,4.8,true,"1021,1022,1024,1032","1021,1032","student,portable,lightweight"
1003,1,NovaBook Pro 16,Laptops,Laptop,Larger 16-inch laptop with powerful specs for creative professionals.,89000,8,3.8,true,"1021,1022,1027,1035","1021,1022","creative,work,performance"
1004,1,NovaBook Elite X,Laptops,Laptop,Premium business laptop with military-grade durability and fast SSD.,98000,28,4.4,true,"1022,1023,1030,1035","1022,1030","business,premium,durable"
1005,1,NovaBook Studio 15,Laptops,Laptop,15-inch laptop tuned for design work with a color-accurate display.,78000,18,3.7,true,"1021,1022,1024,1028","1022,1024","design,creative,display"
1006,1,NovaBook Flex 2-in-1,Laptops,Laptop,Convertible touchscreen laptop that folds into tablet mode.,71000,9,4.0,true,"1026,1027,1032,1035","1026,1032","convertible,touchscreen,versatile"
1007,1,NovaBook Lite 11,Laptops,Laptop,Budget-friendly compact laptop for basic browsing and office tasks.,28000,8,4.7,true,"1022,1029,1032,1035","1029,1035","budget,basic,compact"
1008,1,NovaBook Vault Secure,Laptops,Laptop,Business laptop with fingerprint reader and encrypted storage.,82000,19,4.5,true,"1022,1023,1027,1033","1023,1033","security,business,encrypted"
1009,1,NovaBook Creator 17,Laptops,Laptop,Large-screen laptop with discrete graphics for video editing.,112000,8,4.4,true,"1021,1023,1030,1033","1023,1030","creative,graphics,large-screen"
1010,1,NovaBook Edu 14,Laptops,Laptop,Affordable education-focused laptop with long battery life.,34000,19,3.8,true,"1021,1023,1027,1030","1021,1030","student,education,affordable"
1011,1,NovaBook Zephyr Ultra,Laptops,Laptop,Ultra-thin premium laptop with a fanless silent design.,95000,23,4.2,true,"1022,1026,1027,1030","1026,1027","premium,silent,ultrathin"
1012,1,PulseBook Basic 14,Laptops,Laptop,Entry-level laptop for everyday computing needs.,25000,41,4.1,true,"1024,1030,1032,1035","1032,1035","budget,entry-level,basic"
1013,1,PulseBook Work 15,Laptops,Laptop,Reliable mid-range laptop for office and home use.,45000,16,3.8,true,"1024,1032,1033,1035","1032,1033","work,home,mid-range"
1014,1,PulseBook Traveler 13,Laptops,Laptop,Compact travel laptop with rugged hinge design.,48000,17,4.1,true,"1024,1029,1030,1033","1029,1030","travel,compact,rugged"
1015,1,QuantumBook X9,Laptops,Laptop,High-performance workstation laptop for developers.,105000,9,4.4,true,"1021,1026,1029,1033","1021,1026","developer,workstation,performance"
1016,1,QuantumBook Slim 14,Laptops,Laptop,Slim profile laptop balancing performance and portability.,68000,36,4.5,true,"1027,1029,1033,1035","1027,1035","slim,portable,balanced"
1017,1,AeroBook Nano 12,Laptops,Laptop,Ultra-portable 12-inch laptop for on-the-go professionals.,58000,25,4.3,true,"1022,1024,1032,1033","1022,1032","portable,compact,professional"
1018,1,AeroBook Max 16,Laptops,Laptop,Large display laptop with extended battery for power users.,87000,28,4.1,true,"1021,1024,1027,1029","1021,1029","power-user,large-display,battery"
1019,1,TitanBook Pro Workstation,Laptops,Laptop,Heavy-duty laptop for engineering and CAD workloads.,135000,49,4.6,true,"1022,1027,1032,1035","1022,1035","engineering,cad,workstation"
1020,1,TitanBook Mini 13,Laptops,Laptop,Compact but capable laptop for students on a budget.,39000,24,4.3,true,"1023,1024,1028,1029","1023,1024","student,budget,compact"
1021,1,AeroMouse X1,Accessories,Wireless Mouse,Compact wireless mouse with precision tracking and a comfortable ergonomic shape.,1500,80,4.4,true,"1001,1002,1003,1005,1009,1010,1015,1018","1001,1002,1003,1010,1015,1018","portable,ergonomic,wireless"
1022,1,NovaCarry Laptop Bag,Accessories,Laptop Bag,"Padded laptop bag with multiple compartments, fits laptops up to 15.6 inches.",2000,60,4.3,true,"1001,1002,1003,1004,1005,1007,1008,1011,1017,1019","1001,1003,1004,1005,1017,1019","travel,storage,padded"
1023,1,HubConnect Pro USB Hub,Accessories,USB Hub,"7-in-1 USB-C hub with HDMI, card reader, and fast charging pass-through.",2500,45,4.2,true,"1001,1004,1008,1009,1010,1020","1001,1008,1009,1020","connectivity,usb-c,expansion"
1024,1,Pulse Keyboard,Accessories,Keyboard,"Slim wired keyboard with quiet keys, ideal for office use.",900,70,4.1,true,"1001,1002,1005,1012,1013,1014,1017,1018,1020,1063,1064,1065,1066,1071,1072","1005,1020","office,quiet,wired"
1025,1,Pulse Mechanical Keyboard,Accessories,Mechanical Keyboard,Mechanical keyboard with tactile switches and per-key backlighting.,3200,40,4.5,true,,,"mechanical,backlit,typing"
1026,1,AeroMouse X2 Wireless,Accessories,Wireless Mouse,Sleek wireless mouse with adjustable DPI settings.,1200,65,4.0,true,"1006,1011,1015","1006,1011,1015","wireless,adjustable,portable"
1027,1,ComfortGrip Ergo Mouse,Accessories,Wireless Mouse,Vertical ergonomic mouse designed to reduce wrist strain.,1800,30,4.3,true,"1003,1006,1008,1010,1011,1016,1018,1019","1011,1016","ergonomic,wrist-friendly,office"
1028,1,NovaCarry Backpack 15,Accessories,Laptop Bag,Water-resistant backpack with dedicated 15-inch laptop sleeve.,2400,35,4.4,true,"1005,1020",,"travel,backpack,water-resistant"
1029,1,NovaCarry Sleeve 14,Accessories,Laptop Bag,Slim neoprene sleeve for 14-inch laptops with zip closure.,900,55,4.0,true,"1007,1014,1015,1016,1018,1020","1007,1014,1018","slim,protective,sleeve"
1030,1,HubConnect Mini Hub,Accessories,USB Hub,Compact 4-port USB 3.0 hub for everyday connectivity.,1200,50,4.0,true,"1004,1009,1010,1011,1012,1014","1004,1009,1010,1014","compact,usb,portable"
1031,1,HubConnect Dock Station,Accessories,USB Hub,"Full docking station with dual HDMI, ethernet, and USB ports.",4200,20,4.5,true,,,"docking,office,multi-port"
